date,product_id,product_name,category,brand,market,unit_price_eur,unit_cost_eur,units_sold,web_sessions,ad_spend_eur
2024-01-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,16,1.78
2024-01-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,46,3.26
2024-01-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,24,1.59
2024-01-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,15,1.07
2024-01-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,54,3.03
2024-01-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,25,2.37
2024-01-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,12,1.44
2024-01-19,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,62,4.25
2024-01-19,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,21,1.59
2024-01-19,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,14,1.65
2024-01-20,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,46,3.08
2024-01-20,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,11,0.9
2024-01-20,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,7,0.52
2024-01-21,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,65,6.87
2024-01-21,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,25,1.66
2024-01-21,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,8,0.92
2024-01-22,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,74,8.29
2024-01-22,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,22,1.11
2024-01-22,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,9,0.82
2024-01-23,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,50,5.24
2024-01-23,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,18,1.24
2024-01-23,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,19,1.28
2024-01-24,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,43,4.92
2024-01-24,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,20,1.9
2024-01-24,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,16,1.81
2024-01-25,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,63,6.0
2024-01-25,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,16,1.87
2024-01-25,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,21,1.64
2024-01-26,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,55,5.87
2024-01-26,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,2,26,1.33
2024-01-26,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,13,1.38
2024-01-27,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,43,2.95
2024-01-27,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,20,1.72
2024-01-27,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,11,1.31
2024-01-28,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,62,5.04
2024-01-28,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,25,2.96
2024-01-28,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,1,15,1.45
2024-01-29,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,73.95,43.72,2,46,4.25
2024-01-29,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,75.95,43.72,0,15,1.63
2024-01-29,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,80.95,43.72,0,18,1.62
2024-01-30,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,73.95,43.72,4,62,6.83
2024-01-30,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,75.95,43.72,1,26,2.03
2024-01-30,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,80.95,43.72,0,15,0.89
2024-01-31,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,73.95,43.72,2,59,3.27
2024-01-31,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,75.95,43.72,1,27,1.55
2024-01-31,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,80.95,43.72,1,14,1.16
2024-02-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,73.95,43.72,1,36,2.72
2024-02-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,75.95,43.72,3,14,1.38
2024-02-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,80.95,43.72,0,8,0.64
2024-02-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,73.95,43.72,0,56,5.19
2024-02-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,75.95,43.72,0,22,1.98
2024-02-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,80.95,43.72,0,12,0.75
2024-02-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,73.95,43.72,0,42,4.34
2024-02-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,75.95,43.72,0,17,0.95
2024-02-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,80.95,43.72,0,7,0.6
2024-02-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,73.95,43.72,4,45,3.88
2024-02-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,75.95,43.72,1,23,1.83
2024-02-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,80.95,43.72,0,12,1.01
2024-02-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,70.95,43.72,1,40,2.56
2024-02-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,72.95,43.72,0,25,2.9
2024-02-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,77.95,43.72,1,22,2.64
2024-02-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,70.95,43.72,2,40,4.52
2024-02-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,72.95,43.72,2,16,1.77
2024-02-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,77.95,43.72,0,17,0.88
2024-02-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,70.95,43.72,1,40,3.47
2024-02-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,72.95,43.72,0,18,1.67
2024-02-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,77.95,43.72,0,13,0.66
2024-02-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,70.95,43.72,2,51,2.73
2024-02-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,72.95,43.72,0,24,2.87
2024-02-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,77.95,43.72,0,16,1.52
2024-02-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,70.95,43.72,5,63,5.23
2024-02-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,72.95,43.72,0,15,1.09
2024-02-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,77.95,43.72,0,8,0.75
2024-02-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,70.95,43.72,6,37,4.09
2024-02-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,72.95,43.72,0,19,1.17
2024-02-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,77.95,43.72,0,14,1.61
2024-02-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,70.95,43.72,4,59,3.7
2024-02-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,72.95,43.72,1,19,1.21
2024-02-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,77.95,43.72,0,9,1.03
2024-02-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,40,3.25
2024-02-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,18,0.99
2024-02-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,17,1.14
2024-02-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,4,59,4.41
2024-02-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,16,0.9
2024-02-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,12,0.65
2024-02-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,4,46,4.25
2024-02-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,22,1.34
2024-02-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,13,0.77
2024-02-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,48,5.25
2024-02-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,13,1.06
2024-02-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,10,0.64
2024-02-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,51,4.38
2024-02-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,15,0.92
2024-02-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,12,0.92
2024-02-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,32,3.09
2024-02-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,19,1.55
2024-02-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,14,1.05
2024-02-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,55,6.28
2024-02-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,16,1.77
2024-02-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,15,0.8
2024-02-19,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,45,2.46
2024-02-19,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,25,1.76
2024-02-19,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,10,0.99
2024-02-20,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,4,70,6.23
2024-02-20,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,22,2.48
2024-02-20,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,13,1.06
2024-02-21,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,54,4.14
2024-02-21,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,14,1.38
2024-02-21,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,7,0.58
2024-02-22,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,48,4.16
2024-02-22,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,30,1.92
2024-02-22,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,1,17,1.21
2024-02-23,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,54,6.02
2024-02-23,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,20,1.8
2024-02-23,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,26,2.29
2024-02-24,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,40,4.51
2024-02-24,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,12,1.03
2024-02-24,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,11,0.6
2024-02-25,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,50,5.13
2024-02-25,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,19,1.72
2024-02-25,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,10,0.92
2024-02-26,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,56,5.78
2024-02-26,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,16,0.97
2024-02-26,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,1,13,0.76
2024-02-27,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,56,4.16
2024-02-27,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,17,1.72
2024-02-27,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,1,15,1.34
2024-02-28,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,33,3.46
2024-02-28,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,25,1.98
2024-02-28,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,9,0.99
2024-02-29,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,44,2.21
2024-02-29,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,21,1.3
2024-02-29,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,18,1.09
2024-03-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,44,4.23
2024-03-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,18,0.99
2024-03-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,9,0.89
2024-03-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,44,5.05
2024-03-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,12,1.01
2024-03-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,14,1.48
2024-03-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,52,3.67
2024-03-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,21,1.12
2024-03-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,8,0.5
2024-03-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,40,2.53
2024-03-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,28,3.16
2024-03-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,15,1.36
2024-03-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,57,3.08
2024-03-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,3,12,0.98
2024-03-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,1,13,1.02
2024-03-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,46,3.26
2024-03-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,15,1.47
2024-03-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,2,16,1.44
2024-03-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,62,7.13
2024-03-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,25,1.32
2024-03-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,9,0.91
2024-03-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,38,3.41
2024-03-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,17,1.55
2024-03-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,2,11,0.82
2024-03-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,46,4.25
2024-03-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,18,1.57
2024-03-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,7,0.44
2024-03-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,42,4.16
2024-03-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,18,1.36
2024-03-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,9,1.03
2024-03-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,50,3.41
2024-03-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,33,1.8
2024-03-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,15,1.17
2024-03-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,32,1.84
2024-03-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,17,1.59
2024-03-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,5,0.3
2024-03-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,42,3.33
2024-03-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,7,0.84
2024-03-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,1,12,1.39
2024-03-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,47,2.58
2024-03-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,20,1.4
2024-03-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,5,0.53
2024-03-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,49,3.08
2024-03-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,23,1.34
2024-03-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,17,1.5
2024-03-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,34,3.43
2024-03-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,9,1.05
2024-03-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,9,0.64
2024-03-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,47,4.47
2024-03-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,13,0.71
2024-03-17,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,10,0.54
2024-03-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,69,7.21
2024-03-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,25,2.5
2024-03-18,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,11,0.73
2024-03-19,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,43,4.31
